"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Spermolepis hawaiiensis","No common name","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Suaeda californica","Seablite, California","Endangered","1994/12/15","<div>Flowering Plants</div>"
"FWS","Tetramolopium arenarium","No common name","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Tetramolopium capillare","Pamakani","Endangered","1994/09/30","<div>Flowering Plants</div>"
"FWS","Vigna o-wahuensis","No common name","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Zanthoxylum hawaiiense","A`e","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Adenophorus periens","Fern, pendant kihi","Endangered","1994/11/10","<div>Ferns and Allies</div>"
"FWS","Asplenium dielpallidum","No common name","Endangered","1994/02/25","<div>Ferns and Allies</div>"
"FWS","Asplenium fragile insulare","No common name","Endangered","1994/09/26","<div>Ferns and Allies</div>"
"FWS","Asplenium unisorum","No common name","Endangered","1994/06/27","<div>Ferns and Allies</div>"
"FWS","Ctenitis squamigera","Pauoa","Endangered","1994/09/26","<div>Ferns and Allies</div>"
"FWS","Diellia erecta","diellia, Asplenium-leaved","Endangered","1994/11/10","<div>Ferns and Allies</div>"
"FWS","Diplazium molokaiense","No common name","Endangered","1994/09/26","<div>Ferns and Allies</div>"
"FWS","Huperzia nutans","Wawae`iole","Endangered","1994/03/28","<div>Ferns and Allies</div>"
"FWS","Pteris lidgatei","No common name","Endangered","1994/09/26","<div>Ferns and Allies</div>"
